Measure;RMSE;RMSE;RMSE;RMSE;RMSE;RMSE;MASE;MASE;MASE;MASE;MASE;MASE;MAPE;MAPE;MAPE;MAPE;MAPE;MAPE;CRPS;CRPS;CRPS;CRPS;CRPS;CRPS
Method;BASE Train;BASE Test;BU;MinT;OLS;TD;BASE Train;BASE Test;BU;MinT;OLS;TD;BASE Train;BASE Test;BU;MinT;OLS;TD;BASE Train;BASE Test;BU;MinT;OLS;TD
USA;18710699,4;19238836,13;19575605,81;20142848,91;19185215,48;19238836,13;0,73;0,76;0,81;0,8;0,76;0,76;1,67;1,59;1,74;1,67;1,6;1,59;NA;33,48;27,94;33,04;34,99;33,48
Division;2665800,12;3432738,94;2825530,93;3163539,74;3300917,26;3422399,44;0,73;1,11;0,84;0,95;1,07;1,1;2,11;2,9;2,26;2,5;2,82;2,87;NA;6,76;30,74;23,75;6,3;8,2
State;555190,97;687205,79;687205,79;734370,6;741196,94;756839,49;0,72;1,06;1,06;1,1;1,85;1,15;2,56;3,33;3,33;3,47;5,23;3,61;NA;15,57;15,57;14,45;-49,41;6,94
All series;1164223,6;1396409,53;1312342,28;1410944,38;1421221,55;1453102,38;0,73;1,06;1,02;1,07;1,72;1,14;2,48;3,24;3,15;3,29;4,82;3,47;NA;14,56;18,01;16,13;-39,81;7,56
