Type;Model;Method;Seconds;IsReconciled
Non-hierarchical;SNAIVE;;0.226;0
Non-hierarchical;SNAIVE;;0.246;0
Non-hierarchical;SNAIVE;;0.278;0
Non-hierarchical;SNAIVE;;0.246;0
Non-hierarchical;SNAIVE;;0.246;0
Non-hierarchical;SNAIVE;;0.229;0
Non-hierarchical;SNAIVE;;0.215;0
Non-hierarchical;SNAIVE;;0.252;0
Non-hierarchical;SNAIVE;;0.226;0
Non-hierarchical;SNAIVE;;0.237;0
Non-hierarchical;SNAIVE;;0.23;0
Non-hierarchical;SNAIVE;;0.225;0
Non-hierarchical;SNAIVE;;0.225;0
Non-hierarchical;Prophet;;68.248;0
Non-hierarchical;Prophet;;67.171;0
Non-hierarchical;Prophet;;67.093;0
Non-hierarchical;Prophet;;67.086;0
Non-hierarchical;Prophet;;67.089;0
Non-hierarchical;Prophet;;67.065;0
Non-hierarchical;Prophet;;67.154;0
Non-hierarchical;Prophet;;66.928;0
Non-hierarchical;Prophet;;67.055;0
Non-hierarchical;Prophet;;67.233;0
