Measure;RMSE;RMSE;RMSE;RMSE;RMSE;RMSE;MASE;MASE;MASE;MASE;MASE;MASE;MAPE;MAPE;MAPE;MAPE;MAPE;MAPE;CRPS;CRPS;CRPS;CRPS;CRPS;CRPS
Method;BASE Train;BASE Test;BU;MinT;OLS;TD;BASE Train;BASE Test;BU;MinT;OLS;TD;BASE Train;BASE Test;BU;MinT;OLS;TD;BASE Train;BASE Test;BU;MinT;OLS;TD
USA;18056559,08;23093877,63;19757221,92;19723009,33;22547010,43;23093877,63;0,7;0,92;0,81;0,8;0,9;0,92;1,63;1,9;1,73;1,71;1,87;1,9;NA;24,64;27,72;33,48;26,51;24,64
Division;2642956,66;3191532,28;2920672,31;3068657,01;3345437,5;3434375,44;0,72;0,96;0,87;0,92;1,04;1,01;2,08;2,64;2,32;2,45;2,78;2,73;NA;20,31;28,55;24,56;10,69;15,89
State;549577,78;695203,02;695203,02;692600,53;757529,19;759099,07;0,72;1,04;1,04;1,03;1,34;1,12;2,56;3,27;3,27;3,25;4,11;3,53;NA;16,02;16,02;17;-39,54;6,91
All series;1145436,65;1430705,28;1336043,06;1355140,16;1496556,34;1519955,89;0,72;1,02;1,01;1,01;1,29;1,1;2,48;3,15;3,1;3,11;3,88;3,39;NA;16,8;18,06;18,38;-31,05;8,53
